Rank,Industry,Sector,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Relative Strength,Tickers
1,Computer Hardware,Technology,61,60,37,12,1.39,"SMCI,IONQ,PSTG,ANET,DELL,NTAP,LOGI,WDC,STX,SSYS,HPQ,CRSR"
2,Residential Construction,Consumer Cyclical,61,60,56,41,1.39,"DFH,BZH,MHO,PHM,GRBK,KBH,MTH,TOL,TPH,TMHC,DHI,MDC,LEN,SKY"
3,Lumber & Wood Production,Basic Materials,60,54,24,30,1.26,"BCC,UFPI"
4,Oil & Gas Equipment & Services,Energy,59,51,39,50,1.23,"WFRD,TDW,FTI,OII,AROC,XPRO,CHX,VAL,SLB,BKR,HAL,CLB,LBRT,WHD,TS,NOV,TH"
5,Internet Retail,Consumer Cyclical,58,48,19,26,1.21,"CVNA,W,VIPS,OSTK,GLBE,PDD,AMZN,MELI,BABA,CPNG,EBAY,JD,CHWY,ETSY,RVLV"
6,Semiconductor Equipment & Materials,Technology,58,58,39,37,1.21,"AEHR,ACLS,PLAB,VECO,LRCX,AMAT,KLAC,OLED,ENTG,KLIC,ASML,TER,AMBA,DQ"
7,Auto Manufacturers,Consumer Cyclical,57,47,18,6,1.2,"LI,XPEV,NIO,STLA,TSLA,RACE,HMC,TM,GM,F"
8,Electrical Equipment & Parts,Industrials,56,52,33,35,1.19,"VRT,NVT,ATKR,HAYW,HUBB,ENR,AYI,BE"
9,Building Products & Equipment,Industrials,56,56,48,27,1.19,"BLDR,TGLS,JELD,OC,BECN,AZEK,TREX,GMS,CARR,WMS,AAON,CSL,MAS,PGTI,LPX,AWI"
10,Softwareâ€”Application,Technology,55,52,37,2,1.17,"APP,ACVA,ASAN,ALKT,ANSS,ADSK"
11,Mortgage Finance,Financial Services,54,43,21,25,1.16,"COOP,PFSI,HTGC,ESNT"
12,Copper,Basic Materials,53,31,49,47,1.15,"SCCO,FCX"
13,Travel Services,Consumer Cyclical,53,56,24,21,1.15,"RCL,CCL,BKNG,TCOM,MMYT,NCLH,EXPE,TNL,TRIP"
