Rank,Ticker,Minervini,Sector,Industry,Exchange,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Relative Strength
5,IMVT,8,Healthcare,Biotechnology,NASDAQ,99,,98,99,2.825145257784227
7,CBAY,8,Healthcare,Biotechnology,NASDAQ,99,,98,99,2.7568077568429556
10,AEHR,8,Technology,Semiconductor Equipment & Materials,NASDAQ,99,,99,98,2.4325206287130023
11,MNSO,8,Consumer Cyclical,Specialty Retail,NYSE,99,,96,99,2.364781225766717
12,YPF,8,Energy,Oil & Gas Integrated,NYSE,99,,98,99,2.3326483658442267
14,EH,8,Industrials,Aerospace & Defense,NASDAQ,99,,98,96,2.1986734975612183
15,TDW,8,Energy,Oil & Gas Equipment & Services,NYSE,99,,96,96,2.147437558956087
16,EDU,8,Consumer Defensive,Education & Training Services,NYSE,99,,83,98,2.142598828317515
17,TMDX,8,Healthcare,Medical Devices,NASDAQ,99,,93,98,2.133556834945385
18,ELF,8,Consumer Defensive,Household & Personal Products,NYSE,98,,98,99,2.080319491165797
19,WFRD,8,Energy,Oil & Gas Equipment & Services,NASDAQ,98,,96,98,2.0231013533938675
23,VIST,8,Energy,Oil & Gas E&P,NYSE,98,,97,98,1.8177750922723641
24,TNK,8,Energy,Oil & Gas Midstream,NYSE,98,,90,96,1.785451931546064
26,OII,8,Energy,Oil & Gas Equipment & Services,NYSE,98,,91,89,1.758217423835709
28,ACLS,8,Technology,Semiconductor Equipment & Materials,NASDAQ,98,,99,97,1.7442669564269275
31,MOD,8,Consumer Cyclical,Auto Parts,NYSE,98,,98,92,1.7215847453834827
32,RETA,8,Healthcare,Biotechnology,NASDAQ,98,,99,99,1.7078080927157326
36,VIPS,8,Consumer Cyclical,Internet Retail,NYSE,97,,84,96,1.6499345517138413
38,PCVX,8,Healthcare,Biotechnology,NASDAQ,97,,93,97,1.6373570020178914
41,SHC,8,Healthcare,Diagnostics & Research,NASDAQ,97,,93,72,1.606840318610904
42,FTI,8,Energy,Oil & Gas Equipment & Services,NYSE,97,,95,94,1.6010084215632647
43,GGAL,8,Financial Services,Banks—Regional,NASDAQ,97,,97,89,1.5912279684422628
44,NUVL,8,Healthcare,Biotechnology,NASDAQ,97,,97,99,1.58552789209639
48,AI,8,Technology,Information Technology Services,NYSE,97,,99,42,1.561203198964874
49,BMA,8,Financial Services,Banks—Regional,NYSE,97,,96,76,1.5545932604869102
51,FRO,8,Energy,Oil & Gas Midstream,NYSE,96,,87,93,1.5489165741953357
52,LPG,8,Energy,Oil & Gas Midstream,NYSE,96,,96,94,1.5478276600467917
53,PARR,8,Energy,Oil & Gas Refining & Marketing,NYSE,96,,82,59,1.54485524326076
67,GFF,8,Industrials,Tools & Accessories,NYSE,95,,88,61,1.4794811270338755
69,SMCI,8,Technology,Computer Hardware,NASDAQ,95,,99,99,1.4727037749758476
70,LVS,8,Consumer Cyclical,Resorts & Casinos,NYSE,95,,70,95,1.4679153572119759
73,MGNI,8,Communication Services,Advertising Agencies,NASDAQ,95,,93,24,1.4559616889037486
76,LSCC,8,Technology,Semiconductors,NASDAQ,95,,90,94,1.4474598365045197
79,CRS,8,Industrials,Metal Fabrication,NYSE,95,,94,90,1.4412883941654318
81,ATKR,8,Industrials,Electrical Equipment & Parts,NYSE,95,,90,75,1.4378407527391035
86,ATEC,8,Healthcare,Medical Devices,NASDAQ,94,,94,95,1.4176622914334824
87,NFLX,8,Communication Services,Entertainment,NASDAQ,94,,95,87,1.4130547633422097
89,URI,8,Industrials,Rental & Leasing Services,NYSE,94,,88,41,1.4106538476083277
90,EXTR,8,Technology,Communication Equipment,NASDAQ,94,,96,73,1.4051199310986187
