RMV,Ticker,Minervini,Sector,Industry,Percentile,Relative Strength,1 Month Ago
0.11,BBLGW,8,Healthcare,Medical Devices,91,1.3738010143894854,30
0.98,FORTY,8,Technology,Information Technology Services,92,1.4388511726862898,94
1.52,MRUS,8,Healthcare,Biotechnology,95,1.61289067944883,97
2.38,EXAS,8,Healthcare,Diagnostics & Research,96,1.7286122425541803,89
2.49,CDTX,8,Healthcare,Biotechnology,99,6.462157603621141,99
3.64,RNA,8,Healthcare,Biotechnology,97,1.7987232404316373,96
8.41,AVDL,8,Healthcare,Drug Manufacturers—Specialty & Generic,96,1.6934561290406684,95
8.61,BCS,8,Financial Services,Banks—Diversified,87,1.2540189938252857,86
9.1,DB,8,Financial Services,Banks—Regional,88,1.2685196894408022,93
9.17,BBVA,8,Financial Services,Banks—Diversified,91,1.3950070876869791,93
10.26,HFBL,8,Financial Services,Banks—Regional,87,1.264646590205874,79
10.48,TD,8,Financial Services,Banks—Diversified,87,1.2524128775576482,82
10.52,KF,8,Financial Services,Asset Management,88,1.276354521808222,93
11.36,BCH,8,Financial Services,Banks—Regional,88,1.284195411051975,88
11.52,CAH,8,Healthcare,Medical Distribution,89,1.2886830066124462,92
12.26,HQL,8,Financial Services,Asset Management,85,1.216684954065239,84
12.47,WILC,8,Consumer Defensive,Food Distribution,92,1.42783982836681,89
12.87,KEN,8,Utilities,Utilities—Regulated Electric,95,1.5798737388536312,95
12.96,ARGX,8,Healthcare,Biotechnology,85,1.2215164491876829,90
13.04,KEP,8,Utilities,Utilities—Regulated Electric,94,1.5114067767907944,95
13.09,MRSN,8,Healthcare,Biotechnology,98,2.5079740670953115,99
13.13,SWKH,8,Financial Services,Asset Management,89,1.294716326232402,90
13.86,MT,8,Basic Materials,Steel,90,1.3337452677310377,86
14.44,RYAAY,8,Industrials,Airlines,85,1.2262405609996772,79
14.56,GM,8,Consumer Cyclical,Auto Manufacturers,91,1.376224821839989,87
14.7,UTHR,8,Healthcare,Biotechnology,88,1.2727195501200073,88
14.86,C,8,Financial Services,Banks—Diversified,86,1.2366782640177945,80
14.89,CMA,8,Financial Services,Banks—Regional,89,1.2986994383357318,78
