Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_speculative,Name,Commentary,Commentary_Text,Stage,label,date,low_signal,marketCap,volume,avg_volume,is_up,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
1,QMMM,6,Communication Services,Advertising Agencies,NASDAQ,33.85332974401654,100.0,40.021118257095125,35.45963049835682,99.96598639455783,100.0,0.0,119.4000015258789,0.0,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': False, 'm': True}",-1,True,QMMM Holdings Limited,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,False,6830437376.0,0.0,0.0,False,100.0,100.0,False,False
2,SNDK,8,Technology,Computer Hardware,NASDAQ,10.100436211436218,99.89795918367346,10.716816447508336,7.538362534501054,99.8639455782313,99.48979591836735,44.58,903.489990234375,0.06677675699139911,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,Sandisk Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,131618734080.0,10245900.0,17067920.0,False,99.8639455782313,99.89795918367346,False,False
3,TERN,8,Healthcare,Biotechnology,NASDAQ,6.0981715112808015,99.76190476190476,7.425003232847674,6.814478782819954,99.79591836734694,94.45578231292518,1.77,52.86000061035156,0.002567420510439932,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,"Terns Pharmaceuticals, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,6083439616.0,6219100.0,10032770.0,True,99.79591836734694,99.82993197278913,False,False
4,ABVX,6,Healthcare,Biotechnology,NASDAQ,5.14653491448378,99.62585034013605,6.396737283483069,6.791840427685621,99.82993197278913,99.89795918367346,34.7,111.43000030517578,0.05253970924222098,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,ABIVAX Société Anonyme,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,False,9890232320.0,756100.0,878880.0,False,99.72789115646259,99.76190476190476,False,False
5,CELC,8,Healthcare,Biotechnology,NASDAQ,4.138524214745782,99.25170068027211,4.494787281076236,4.2717230474003705,99.72789115646259,99.62585034013605,32.12,126.06999969482422,0.043377265109698665,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,Celcuity Inc.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,5968129536.0,751600.0,676970.0,True,99.31972789115646,99.5578231292517,False,False
6,WDC,8,Technology,Computer Hardware,NASDAQ,3.779270364271048,99.14965986394559,3.859389112762077,3.2486966463078346,98.80952380952381,97.34693877551021,35.24,383.80999755859375,0.05172016584609695,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,Western Digital Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,95629238272.0,6125700.0,9733960.0,True,99.18367346938776,99.04761904761905,False,False
7,CIEN,8,Technology,Communication Equipment,NYSE,3.7260129269595272,99.1156462585034,3.506975536728575,3.3666654294868246,96.39455782312926,96.80272108843538,43.31,505.92999267578125,0.06327385195589164,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Ciena Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,67302653952.0,1805700.0,2961000.0,True,99.08163265306122,99.18367346938776,False,False
8,ALMS,7,Healthcare,Biotechnology,NASDAQ,3.462439408711229,99.04761904761905,3.057620691689216,4.5711860680952485,99.65986394557824,50.884353741496604,43.27,24.979999542236328,0.05548724446670909,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,Alumis Inc.,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,False,3073135872.0,1695800.0,1264890.0,True,98.80952380952381,99.62585034013605,False,False
9,NBTX,8,Healthcare,Biotechnology,NASDAQ,3.2811165795800723,99.01360544217687,3.3069788411706655,3.7439616154958335,98.60544217687075,99.01360544217687,39.71,30.799999237060547,0.07483766525305235,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': False, 'i': False, 'm': True}",-1,True,Nanobiotix S.A.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,1610051072.0,88900.0,72970.0,False,99.04761904761905,99.31972789115646,False,False
10,PRAX,8,Healthcare,Biotechnology,NASDAQ,3.2740113274031044,98.9795918367347,4.666944026852591,4.308988194997195,99.31972789115646,98.91156462585035,40.42,340.8399963378906,0.05315647383494468,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': False, 'i': False, 'm': True}",-1,True,"Praxis Precision Medicines, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,9467332608.0,414400.0,371760.0,False,99.38775510204081,99.59183673469387,False,False
