Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,Name,Commentary,Commentary_Text,Stage,label,date,rs_1m_pct,Candidate High-Win,Candidate Flip
1,WBD,8,Communication Services,Entertainment,Nasdaq 100,1.9262392623280595,97,1.9342452812452504,99,73,11.57,28.75,0.018409946986607143,6,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",3,False,"Warner Bros. Discovery, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,97,False,False
2,MSFT,3,Technology,Software - Infrastructure,Nasdaq 100,0.7752233819399339,23,0.8618043846643461,55,70,17.4,397.2300109863281,0.026284763524367646,2,True,False,True,False,True,Weekly Analysis,"{'c': True, 'a': True, 'n': False, 's': False, 'l': False, 'i': False, 'm': True}",65,False,Microsoft Corporation,Downward,"Bearish posture, trading below major MAs.",1,Tech Giants Watch,2026-02-21,31,False,False
3,BKR,8,Energy,Oil & Gas Equipment & Services,Nasdaq 100,1.2836524023280989,87,1.116421295929151,67,66,18.08,62.209999084472656,0.02768608111528024,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",57,True,Baker Hughes Company,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,76,False,False
4,AAPL,7,Technology,Consumer Electronics,Nasdaq 100,1.003371572740524,56,0.9666053290343046,75,48,18.32,264.5799865722656,0.02703641244870787,4,False,False,True,False,True,Weekly Analysis,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': False, 'm': True}",66,False,Apple Inc.,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,Tech Giants Watch,2026-02-21,56,False,False
5,GOOG,7,Communication Services,Internet Content & Information,Nasdaq 100,1.3081162893780824,89,1.433815411444803,94,78,21.89,314.8999938964844,0.03386561724111536,3,False,False,True,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",59,False,Alphabet Inc.,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,90,False,False
6,GOOGL,7,Communication Services,Internet Content & Information,Nasdaq 100,1.3160814557837577,90,1.4432540444943829,95,80,22.33,314.9800109863281,0.034467037574505505,3,False,False,True,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",59,False,Alphabet Inc.,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,91,False,False
7,ADI,8,Technology,Semiconductors,Nasdaq 100,1.383768031361275,91,1.2556319305547188,47,60,23.24,355.0299987792969,0.03241576469465151,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",87,False,"Analog Devices, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,87,False,False
8,ASML,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.5953900733583426,95,1.536549518058483,85,38,23.6,1469.5899658203125,0.034076499331329974,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",51,False,ASML Holding N.V.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,95,False,False
9,NVDA,8,Technology,Semiconductors,Nasdaq 100,1.067639739381525,67,1.0872762388097528,70,89,24.36,189.82000732421875,0.0368619906580946,7,False,False,True,False,True,Weekly Analysis,"{'c': True, 'a': True, 'n': False, 's': True, 'l': False, 'i': False, 'm': True}",2,False,NVIDIA Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,Tech Giants Watch,2026-02-21,71,False,False
10,TSLA,7,Consumer Cyclical,Auto Manufacturers,Nasdaq 100,1.0362516590865034,63,1.1297153177439894,66,62,24.41,411.82000732421875,0.03674456122531704,3,True,False,True,False,True,Weekly Analysis,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': False, 'm': True}",57,False,"Tesla, Inc.",Sideways,"Weakening, slipped below MA50 but holding MA200.",2,Tech Giants Watch,2026-02-21,77,False,False
11,MCHP,8,Technology,Semiconductors,Nasdaq 100,1.2542384851348856,86,1.179035760430595,14,40,28.44,77.7300033569336,0.04326330353091437,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",73,False,Microchip Technology Incorporated,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,82,False,False
12,ODFL,7,Industrials,Trucking,Nasdaq 100,1.2408244405668734,85,1.0305694149921956,11,3,28.89,201.38999938964844,0.042877004729994075,6,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",58,False,"Old Dominion Freight Line, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,67,False,False
13,INSM,7,Healthcare,Biotechnology,Nasdaq 100,1.302421033831077,88,1.3750346829178595,100,99,29.22,164.91000366210938,0.03925085040481122,5,True,True,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",73,True,Insmed Incorporated,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,89,False,False
14,KLAC,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.4707268524103299,93,1.5211150179884965,89,75,31.93,1496.0,0.041572110395669375,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",65,False,KLA Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,False,False
15,AMAT,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.8137487685709248,96,1.502910067499855,86,28,35.03,375.3800048828125,0.05026641141314132,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",80,False,"Applied Materials, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,93,False,False
16,LRCX,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,2.074704943696439,98,1.9980115753371963,96,88,36.95,244.9199981689453,0.05147161064109815,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",58,False,Lam Research Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,98,False,False
