Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,Name,Commentary,Commentary_Text,Stage,label,date,rs_1m_pct
1,WDC,8,Technology,Computer Hardware,Nasdaq 100,3.315503837415359,100,3.2453408004270976,100,97,62.18,285.5199890136719,0.08574080597686723,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",73,False,Western Digital Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100
2,MU,8,Technology,Semiconductors,Nasdaq 100,2.884332004785364,100,2.9039745460899216,98,82,47.63,428.1700134277344,0.06516938243497417,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",24,False,"Micron Technology, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100
3,STX,8,Technology,Computer Hardware,Nasdaq 100,2.4818256454719965,99,2.30193421115659,97,96,49.08,411.1099853515625,0.07121486237083659,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",72,False,Seagate Technology Holdings plc,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,99
4,LRCX,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,2.0747048860610944,98,1.9980115279369377,96,88,36.95,244.9199981689453,0.05147161064109815,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",59,False,Lam Research Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,98
5,WBD,8,Communication Services,Entertainment,Nasdaq 100,1.9262392032632139,97,1.9342452312482878,99,73,11.57,28.75,0.018409946986607143,6,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",4,False,"Warner Bros. Discovery, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,97
6,AMAT,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.8137486937141143,96,1.5029099787405888,86,28,35.03,375.3800048828125,0.05026641141314132,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",81,False,"Applied Materials, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,93
7,ASML,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.5953900669595908,95,1.5365495486305962,85,38,23.6,1469.5899658203125,0.034076499331329974,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",52,False,ASML Holding N.V.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,95
8,INTC,8,Technology,Semiconductors,Nasdaq 100,1.4789283826353419,94,1.8471370662048168,91,65,41.19,44.11000061035156,0.06370437479068398,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",60,False,Intel Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,96
9,KLAC,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.470726792159333,93,1.5211149898029386,89,75,31.93,1496.0,0.041572110395669375,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",66,False,KLA Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94
10,MPWR,8,Technology,Semiconductors,Nasdaq 100,1.3996071811685689,92,1.278446105822625,80,85,37.11,1204.0999755859375,0.05372716645191964,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",67,False,"Monolithic Power Systems, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,88
