Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_speculative,Name,Commentary,Commentary_Text,Stage,label,date,low_signal,marketCap,volume,avg_volume,is_up,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
1,SNDK,8,Technology,Computer Hardware,Nasdaq 100,11.27785159083371,100.0,10.193865290107528,7.051224699158979,100.0,100.0,44.89,979.0700073242188,0.0623376551321379,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Sandisk Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,131618734080.0,14873643.0,17067920.0,True,100.0,100.0,False,False
2,PL,8,Industrials,Aerospace & Defense,Manual Tip,4.079919412530829,99.39393939393939,3.5571033970411507,3.6153219063916215,99.39393939393939,98.7878787878788,63.23,39.470001220703125,0.08507889543137655,7,True,False,False,False,True,AlphaCharts,"{'c': True, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,Planet Labs PBC,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,8428334080.0,12067521.0,9004500.0,True,98.7878787878788,99.39393939393939,False,False
3,WDC,8,Technology,Computer Hardware,Nasdaq 100,3.777481231719457,98.7878787878788,3.8074245557180766,3.3463217144482043,98.7878787878788,96.96969696969697,34.93,389.1000061035156,0.048406578974391795,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Western Digital Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,95629238272.0,6738846.0,9733960.0,True,99.39393939393939,98.7878787878788,False,False
4,STX,8,Technology,Computer Hardware,Nasdaq 100,2.9761692103298247,98.18181818181819,2.8521500141965364,2.4301037784778545,96.36363636363636,93.93939393939394,32.99,579.8800048828125,0.047083627708465484,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Seagate Technology Holdings plc,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,88938921984.0,3077552.0,3162910.0,True,98.18181818181819,98.18181818181819,False,False
5,MU,8,Technology,Semiconductors,Nasdaq 100,2.7330231158547287,97.57575757575758,2.6727527062460545,2.360977659344838,98.18181818181819,98.18181818181819,38.04,487.4800109863281,0.05121382439926088,7,True,False,False,False,True,AlphaCharts,"{'c': True, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,"Micron Technology, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,464126246912.0,45367858.0,29634200.0,True,97.57575757575758,97.57575757575758,False,False
6,VSAT,8,Technology,Communication Equipment,Manual Tip,2.7315057072752316,96.96969696969697,2.632503511232132,2.299650684324356,96.96969696969697,99.39393939393939,43.73,63.08000183105469,0.05772714700427399,7,True,False,False,False,True,AlphaCharts,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,"Viasat, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,6509040640.0,1203472.0,1659010.0,True,96.96969696969697,96.96969696969697,False,False
7,MRVL,8,Technology,Semiconductors,Nasdaq 100,1.9200781003025869,96.36363636363636,1.6764953816496542,1.1542024909428277,29.6969696969697,46.06060606060606,32.38,157.32000732421875,0.042937978720840056,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,"Marvell Technology, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,69281292288.0,29491575.0,10495450.0,True,94.54545454545455,72.12121212121212,False,False
8,LRCX,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.9138509821311436,95.75757575757575,1.9309888521181175,1.9364215219687573,95.15151515151516,93.33333333333333,23.91,265.54998779296875,0.03842968702722871,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,Lam Research Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,293772853248.0,9648719.0,9444820.0,True,96.36363636363636,96.36363636363636,False,False
9,INTC,8,Technology,Semiconductors,Nasdaq 100,1.767531981052575,95.15151515151516,1.8605402963738387,1.4860086774157255,89.0909090909091,95.15151515151516,38.72,65.2699966430664,0.05368907185736483,7,False,False,False,False,True,memory,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Intel Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,Test,2026-02-23,False,227830087680.0,86122897.0,74665460.0,False,95.75757575757575,90.9090909090909,False,False
10,AMAT,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.6412618004401553,94.54545454545455,1.6348474983425465,1.7897456645153536,88.48484848484848,73.33333333333333,20.53,403.4800109863281,0.03153988847225628,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"Applied Materials, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,295460929536.0,5201223.0,8638880.0,True,93.33333333333333,95.75757575757575,False,False
11,MPWR,8,Technology,Semiconductors,Nasdaq 100,1.641260333270441,93.93939393939394,1.5285093355451431,1.324626124791478,80.60606060606061,89.0909090909091,23.59,1522.0400390625,0.03460479154733788,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,"Monolithic Power Systems, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,55661723648.0,538309.0,487470.0,False,90.30303030303031,83.63636363636363,False,False
12,HBM,8,Basic Materials,Copper,Manual Tip,1.633593731968882,93.33333333333333,1.682551294902884,1.4416544921183507,95.75757575757575,92.12121212121212,26.7,24.690000534057617,0.0466351420927246,7,True,False,True,False,True,AlphaCharts,"{'c': True, 'a': True, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Hudbay Minerals Inc.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,11012931584.0,4335434.0,6805750.0,True,95.15151515151516,89.0909090909091,False,False
13,IRDM,7,Communication Services,Telecom Services,Manual Tip,1.6330324117915882,92.72727272727272,1.6099500433810436,1.2787159160790553,21.818181818181817,0.6060606060606061,44.79,40.400001525878906,0.062252299292503185,6,False,False,False,False,True,AlphaCharts,"{'c': False, 'a': True, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,Iridium Communications Inc.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,2509516032.0,4458470.0,2756550.0,False,92.72727272727272,81.81818181818183,False,False
14,USO,8,unknown,unknown,Market Pulse,1.6294661056295696,92.12121212121212,1.5670092099362862,1.5500771972752414,24.848484848484848,17.575757575757574,31.85,129.39999389648438,0.06719474157644222,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,"United States Oil Fund, LP",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,9760244736.0,11825518.0,10094790.0,True,92.12121212121212,93.33333333333333,False,False
15,AA,8,Basic Materials,Aluminum,Manual Tip,1.565306266797116,91.51515151515152,1.6741984706546016,1.4695620252178423,91.51515151515152,68.48484848484848,27.83,68.52999877929688,0.04357006844586951,7,True,False,True,False,True,AlphaCharts,"{'c': False, 'a': True, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Alcoa Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,15902981120.0,4432721.0,6727380.0,True,93.93939393939394,90.30303030303031,False,False
16,AMD,7,Technology,Semiconductors,Nasdaq 100,1.5554429371498693,90.9090909090909,1.3780648747018822,1.2441355237595415,86.06060606060606,92.72727272727272,28.55,303.4599914550781,0.037726786310674505,6,False,True,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,"Advanced Micro Devices, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,326424559616.0,48843690.0,37805560.0,True,85.45454545454545,77.57575757575758,False,False
17,KLAC,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.5443997137768222,90.30303030303031,1.5350328414676166,1.517414807529476,90.30303030303031,89.6969696969697,20.2,1812.06005859375,0.032040479884029735,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,KLA Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,200314191872.0,666673.0,828000.0,True,90.9090909090909,92.12121212121212,False,False
18,WBD,7,Communication Services,Entertainment,Nasdaq 100,1.4918004495986799,89.6969696969697,1.5573777034404706,1.5717258368230613,94.54545454545455,95.75757575757575,4.38,27.329999923706055,0.005958906691529562,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"Warner Bros. Discovery, Inc.",Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,False,69858426880.0,12284889.0,25983370.0,True,91.51515151515152,93.93939393939394,False,False
19,UFO,8,unknown,unknown,Manual Tip,1.40491547737544,89.0909090909091,1.3733308684718475,1.3726264227529394,84.84848484848484,88.48484848484848,23.48,54.310001373291016,0.03391114467836801,7,True,False,False,False,True,AlphaCharts,"{'c': False, 'a': False, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,Procure Space ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,True,0.0,948085.0,465880.0,True,84.84848484848484,86.06060606060606,False,False
20,ADI,8,Technology,Semiconductors,Nasdaq 100,1.3886897892119197,88.48484848484848,1.3005192700538355,1.277050400591088,81.81818181818183,45.45454545454545,17.34,381.4200134277344,0.026893870523492337,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,"Analog Devices, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,174214037504.0,2479573.0,4977940.0,True,82.42424242424242,81.21212121212122,False,False
21,ANET,8,Technology,Computer Hardware,Manual Tip,1.3822638717192761,87.87878787878788,1.2660766009544384,1.1152551935440367,66.66666666666666,83.03030303030303,24.7,177.72999572753906,0.03470030370523626,7,True,False,False,False,True,memory,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,"Arista Networks, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,Test,2026-02-23,False,162158149632.0,8692753.0,9997750.0,True,78.78787878787878,65.45454545454545,False,False
22,SMH,8,unknown,unknown,Market Pulse,1.377960740765617,87.27272727272727,1.3364135199591622,1.2740615219290876,82.42424242424242,80.60606060606061,15.03,476.8299865722656,0.023609795091318175,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,VanEck Semiconductor ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,4742703616.0,7190253.0,7463260.0,True,83.63636363636363,80.60606060606061,False,False
23,SCCO,8,Basic Materials,Copper,Manual Tip,1.3717926101508084,86.66666666666667,1.4108708468498625,1.3758794730468478,92.72727272727272,83.63636363636363,24.29,187.7100067138672,0.041104427761405306,6,True,False,True,True,True,AlphaCharts,"{'c': True, 'a': True, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Southern Copper Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,174043070464.0,938343.0,1551606.0,True,88.48484848484848,86.66666666666667,False,False
24,VLO,8,Energy,Oil & Gas Refining & Marketing,Manual Tip,1.3712047270051435,86.06060606060606,1.4050077225813826,1.5744594282945934,73.33333333333333,72.12121212121212,24.79,234.36000061035156,0.042588639810551866,6,False,False,True,True,True,AlphaCharts,"{'c': True, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Valero Energy Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,61922213888.0,2268131.0,2269970.0,True,87.27272727272727,94.54545454545455,False,False
25,OIH,8,unknown,unknown,Manual Tip,1.3711844503029849,85.45454545454545,1.4052062771485283,1.5200576949031228,80.0,46.666666666666664,16.24,417.7900085449219,0.02454603912568961,7,False,False,True,False,True,AlphaCharts,"{'c': False, 'a': False, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,VanEck Oil Services ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,True,0.0,522263.0,722350.0,True,87.87878787878788,92.72727272727272,False,False
