Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,Name,Commentary,Commentary_Text,Stage,label,date,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
1,RGC,7,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,49.05793669148414,100,53.44967354171534,48.05297619250546,100,100,82.13,29.170000076293945,0.1196067274864182,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,RGC,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
2,QMMM,6,Communication Services,Advertising Agencies,NASDAQ,45.4811474255922,100,53.49944075039143,63.17020045255823,100,100,0.0,119.4000015258789,0.0,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,QMMM,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,100,100,False,False
3,AXTI,8,Technology,Semiconductor Equipment & Materials,NASDAQ,9.115947626268547,100,8.12489308415267,6.246138708203148,100,94,100.0,29.68000030517578,0.12564978931215698,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,AXTI,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
4,SNDK,8,Technology,Computer Hardware,NASDAQ,8.98060344007136,100,9.063550157971587,8.953336991822747,100,92,69.81,649.969970703125,0.0944125890302603,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,SNDK,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
5,HYMC,7,Basic Materials,Gold,NASDAQ,8.426246696274983,100,6.983725964577591,10.67356112970989,99,94,98.3,41.06999969482422,0.13478728799928263,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,HYMC,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
6,ABVX,8,Healthcare,Biotechnology,NASDAQ,7.511515337049683,100,7.51654836439195,7.120048398800195,100,100,27.81,130.35000610351562,0.03743053777124129,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,ABVX,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
7,ERAS,8,Healthcare,Biotechnology,NASDAQ,6.500294507395,100,6.364737801185406,4.89841573087359,96,14,44.14,12.539999961853027,0.06163132782548207,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,ERAS,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
8,SLGL,8,Healthcare,Biotechnology,NASDAQ,5.744268913036011,100,5.782339631459045,3.894727435417969,100,100,73.15,83.9800033569336,0.09028595290382445,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,SLGL,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
9,TERN,8,Healthcare,Biotechnology,NASDAQ,5.47636857598803,100,5.638647869747497,6.059675125962319,100,95,43.57,39.22999954223633,0.060056082343230156,6,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,TERN,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
10,LITE,8,Technology,Communication Equipment,NASDAQ,4.998973406163768,100,4.441828140767109,3.1025955533733445,99,97,68.12,667.77001953125,0.08093676523017343,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,LITE,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,99,False,False
11,GLTO,8,Healthcare,Biotechnology,NASDAQ,4.976419775686684,100,5.180129144521832,5.497014693682094,100,3,79.07,30.0,0.1021166756039574,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,GLTO,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
12,BNAI,7,Technology,Software - Infrastructure,NASDAQ,4.789543406397373,100,5.240636197648829,1.8782312448092708,57,3,100.0,19.0,0.21176691700641373,6,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,BNAI,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,96,False,False
13,ALMS,8,Healthcare,Biotechnology,NASDAQ,4.681591451465718,100,5.144350675947655,5.0316443785686475,89,15,49.36,27.969999313354492,0.06712294537344224,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,ALMS,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
14,SOGP,7,Communication Services,Internet Content & Information,NASDAQ,4.608632148906185,100,4.284491185602083,2.903407082246713,100,100,44.7,14.319999694824219,0.0661861549091357,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,SOGP,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,99,False,False
15,VTYX,8,Healthcare,Biotechnology,NASDAQ,4.535247951460612,100,4.984317986149609,5.16085777508208,100,85,1.76,13.970000267028809,0.002479821362633906,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,VTYX,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
16,PRAX,8,Healthcare,Biotechnology,NASDAQ,4.2333099076358405,100,4.256375590631024,3.5460311644029696,99,32,41.17,335.2799987792969,0.05878283109259798,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,PRAX,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
17,RAPT,8,Healthcare,Biotechnology,NASDAQ,4.146727430363912,100,4.493102670852679,3.8880685557423655,99,81,1.64,57.91999816894531,0.0023739585181767357,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,RAPT,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
18,CELC,7,Healthcare,Biotechnology,NASDAQ,3.861459745691952,100,4.003969848351858,5.306972138650144,100,100,38.16,104.79000091552734,0.056299679718950224,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,CELC,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,100,100,False,False
19,SNSE,8,Healthcare,Biotechnology,NASDAQ,3.5905846189768904,100,0.9868404502995531,1.111354574991518,64,32,100.0,33.5,0.08854797908238002,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,SNSE,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,36,66,False,False
20,BNR,7,Healthcare,Diagnostics & Research,NASDAQ,3.5178006578071197,100,4.61033451123555,5.631341286676669,99,97,63.22,29.010000228881836,0.1123184035190568,6,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,BNR,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
21,BE,8,Industrials,Electrical Equipment & Parts,NYSE,3.47437150635475,100,3.2298666912626297,3.695726087324163,99,100,80.59,147.5500030517578,0.11964611487985047,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,BE,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,99,100,False,False
22,CAPR,8,Healthcare,Biotechnology,NASDAQ,3.3976184532667433,100,2.9890232433116997,2.7481595968251975,2,2,51.73,28.510000228881836,0.06601693206037987,6,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,CAPR,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,99,99,False,False
23,BIOA,8,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,3.3592975187944107,100,3.286585205747355,3.36985459857032,94,4,52.61,20.510000228881836,0.07457685908798871,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,BIOA,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,99,False,False
24,ANRO,8,Healthcare,Biotechnology,NYSE,3.359072109228035,100,3.646752526875164,3.4999522927968347,100,55,64.91,17.6200008392334,0.0894600320092488,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,ANRO,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
25,WDC,8,Technology,Computer Hardware,NASDAQ,3.315503900136033,100,3.360741282882177,3.2453408004270976,98,94,62.18,285.5199890136719,0.08574080597686723,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",72,False,Western Digital Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,99,False,False
26,PL,8,Industrials,Aerospace & Defense,NYSE,3.300502606542627,100,2.8196358559836114,3.8159178635571034,98,97,65.24,23.899999618530273,0.08946504980807889,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,PL,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,99,100,False,False
27,AFJK,6,Financial Services,Shell Companies,NASDAQ,3.1922175939966424,100,3.871874216113529,4.734305376076078,25,39,64.63,37.939998626708984,0.12397395979939789,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,AFJK,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,100,100,False,False
28,NKTR,7,Healthcare,Biotechnology,NASDAQ,3.1549373132250795,100,3.252722638267013,1.505120054168331,99,98,58.99,73.7300033569336,0.07532309400072638,6,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,NKTR,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,99,90,False,False
29,NBTX,8,Healthcare,Biotechnology,NASDAQ,3.144132342412314,100,3.1610128054922235,3.133892857427193,100,98,39.7,24.780000686645508,0.06596621032917553,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,NBTX,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,99,99,False,False
30,KOD,7,Healthcare,Biotechnology,NASDAQ,3.103895201608621,99,2.573881033580917,2.9110079097643586,100,99,62.78,25.280000686645508,0.0829848338949553,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,KOD,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,99,99,False,False
31,AG,8,Basic Materials,Silver,NYSE,3.0853761380068434,99,2.4563708843339285,2.6062144851367774,93,92,53.77,27.549999237060547,0.06961368736757971,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,AG,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,99,99,False,False
32,ZEPP,4,Technology,Consumer Electronics,NYSE,3.0724912998797524,99,3.4411397297521535,3.128974399302847,100,100,79.73,21.479999542236328,0.11085728104985666,2,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,ZEPP,Downward,"Bearish posture, trading below major MAs.",1,,,100,99,False,False
33,COGT,7,Healthcare,Biotechnology,NASDAQ,3.055854540406603,99,3.0834910151648733,3.824207969722318,100,95,35.19,37.34000015258789,0.05190336506998571,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,COGT,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,99,100,False,False
