Rank,Industry,Sector,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,rs_1w_pct,Tickers
1,Advertising Agencies,Communication Services,5.21,73,5.13,81,66,60,77,"QMMM,ZD,OMC,APP,CRTO,MGNI,TTD,WPP"
2,Semiconductor Equipment & Materials,Technology,1.98,73,1.94,78,57,46,76,"AXTI,TER,FORM,UCTT,ICHR,AEHR,INTT,LRCX,AMAT,CAMT,KLIC,AMKR,NVMI,IPGP,ASML,ONTO,KLAC,ACMR,COHU,PLAB,ENTG,VECO,ACLS,DQ,AMBA"
3,Computer Hardware,Technology,1.85,72,1.8,77,61,58,75,"SNDK,WDC,VELO,STX,UMAC,DELL,ANET,QBTS,PSTG,RGTI,LOGI,SMCI,IONQ,HPQ"
4,Other Precious Metals & Mining,Basic Materials,1.65,71,1.79,80,64,54,74,"HL,PPTA,MUX,BVN,ELE,SBSW,TFPM"
5,Aluminum,Basic Materials,1.68,71,1.69,75,56,33,73,"CENX,AA,CSTM,KALU"
6,Gold,Basic Materials,1.64,70,1.81,79,63,56,75,"HYMC,ARIS,CGAU,IAG,AAUC,CDE,AU,SSRM,SA,KGC,PAAS,NEM,EQX,B,IDR,GFI,EGO,AEM,CNL,DRD,AGI,ORLA,WPM,OR,FNV,RGLD,CMCL,USAU,CTGO,HMY"
7,Drug Manufacturers - Specialty & Generic,Healthcare,1.6,69,2.66,81,66,59,77,"RGC,BIOA,AMLX,PAHC,LQDA,INDV,ELAN,KNSA,ANIK,TEVA,VTRS,SUPN,TAK,ETON,LNTH,RDY,HROW,COLL,ALKS,NBIX,ANIP,HCM,PCRX,PBH,ZTS,AMPH,HIMS"
8,Biotechnology,Healthcare,1.58,68,1.59,74,64,48,72,"ABVX,ERAS,TERN,SLGL,ANRO,ALMS,PRAX,CELC,DMRA,NBTX,SNSE,TNGX,NKTR,KOD,COGT,DAWN,CRVS,DNTH,INBX,STRO,GLSI,TYRA,ANAB,CAPR,ORKA,MAZE,FBRX,MBX,ARWR,SYRE,DBVT,OLMA,DFTX,APLM,GLUE,STOK,CGON,BLTE,GPCR,ROIV,TENX,MRNA,RVMD,SEPN,PTN,PMN,SRZN,VTVT,RCUS,IMNM,FOLD,AVTX,SPRB,CTNM,TECX,ACLX,MIRM,SNDX,EWTX,CGEM,RAPP,DRUG,TRDA,SION,ELVN,ELTX,KYMR,CNTA,NTLA,XENE,LGND,BCAX,PTGX,APGE,ASMB,BBIO,VOR,ENTA,IONS,ZYME,ZBIO,VRDN,KRYS,IDYA,OCS,PCVX,PLRZ,LYEL,DNLI,ARVN,JAZZ,ORIC,PHVS,RPRX,MNPR,VERA,IMVT,AUPH,CLDX,AXSM,JBIO,CYTK,WVE,PTHS,TARS,ASND,EYPT,TVTX,ARQT,GHRS,DYN,VKTX,REGN,URGN,PHAR,KALV,NRIX,INCY,ADPT,NUVL,INSM,NGNE,RYTM,BEAM,INVA,MLYS,NAMS,AVBP,GLPG,PTCT,SRRK,CPRX,MDGL,VRTX,TBPH,XOMA,EXEL,BMRN,HALO,XNCR,GMAB,KRRO,ARGX,ONC,MESO,QURE,CRSP,PRTC,CRNX,AGIO,MDWD,BNTX,IRON,ACAD,ALNY,RIGL,IMCR,BNTC,TECH,SMMT,VCEL,TGTX,ADMA,APLS,AAPG,HRMY,ZLAB,MLTX,JANX,LEGN,SRPT,TNXP,RARE,SLNO,CORT"
9,Uranium,Energy,1.58,68,1.61,76,61,58,73,"UUUU,CCJ,UEC,LEU"
10,Utilities - Renewable,Utilities,1.57,67,1.55,74,60,37,70,"ENLT,FLNC,ELLO,CWEN,BEPC,ORA"
