Rank,Industry,Sector,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,rs_1w_pct,Tickers
1,Computer Hardware,Technology,3.87,100,3.75,100,100,100,100,"SNDK,WDC,STX,ANET,SMCI"
2,Aerospace & Defense,Industrials,2.25,96,2.25,96,96,92,96,"PL,AXON"
3,Communication Equipment,Technology,1.97,92,1.88,92,88,96,92,"VSAT,CSCO"
4,Semiconductor Equipment & Materials,Technology,1.59,88,1.55,88,84,84,88,"LRCX,AMAT,KLAC,ASML"
5,Semiconductors,Technology,1.52,84,1.39,76,68,76,80,"MU,MRVL,INTC,MPWR,AMD,ADI,TXN,ARM,AVGO,MCHP,NVDA,NXPI,QCOM"
6,Copper,Basic Materials,1.45,80,1.54,80,92,88,84,"HBM,SCCO"
7,Oil & Gas Equipment & Services,Energy,1.32,76,1.31,84,74,56,76,"WFRD,XPRO,BKR"
8,Internet Content & Information,Communication Services,1.16,72,1.18,56,74,70,68,"GOOGL,GOOG,META"
9,Entertainment,Communication Services,1.14,68,1.25,72,80,80,72,"WBD,NFLX"
10,Telecom Services,Communication Services,1.1,64,1.11,46,12,4,64,"IRDM,CMCSA,CHTR,TMUS"
11,Discount Stores,Consumer Defensive,1.05,57,1.02,60,52,26,48,"TGT,WMT,COST,DG"
12,unknown,unknown,1.05,57,1.06,52,56,48,56,"USO,OIH,SMH,UFO,COPX,SLV,TAN,ICLN,XBI,GDX,XME,XLE,UTSL,XTN,ROBO,XLK,IWM,IYT,XLI,QQQ,XLB,MDY,MOO,MAGS,XLU,QQQE,RSP,DIA,XLC,XLRE,XRT,XHB,XLP,XLY,XLV,FDN,XLF,ITB,IBUY,IGV,ETHA,IBIT"
13,Utilities - Regulated Electric,Utilities,1.03,52,1.04,64,44,44,52,"NEE,AEP,XEL,EXC"
14,Drug Manufacturers - General,Healthcare,1.0,48,1.07,68,64,36,60,"AMGN,GILD"
15,Beverages - Non-Alcoholic,Consumer Defensive,0.96,44,0.96,40,40,32,36,"MNST,PEP,KO,CCEP,KDP"
16,Utilities - Independent Power Producers,Utilities,0.95,38,0.97,36,36,64,42,"NRG,CEG"
17,Biotechnology,Healthcare,0.95,38,0.97,46,60,70,42,"REGN,INSM,VRTX,ALNY"
18,Electronic Gaming & Multimedia,Communication Services,0.91,32,0.92,32,48,60,32,"EA,TTWO"
19,Travel Services,Consumer Cyclical,0.87,28,0.89,24,30,20,28,"ABNB,BKNG"
20,Internet Retail,Consumer Cyclical,0.82,24,0.85,12,20,40,24,"AMZN,PDD,MELI,DASH"
21,Medical Devices,Healthcare,0.8,18,0.83,28,30,16,20,"GEHC,DXCM"
22,Software - Infrastructure,Technology,0.8,18,0.81,16,24,52,16,"CRWD,STNE,PLTR,FTNT,SNPS,PANW,MSFT,ZS"
23,Packaged Foods,Consumer Defensive,0.75,12,0.77,20,16,10,12,"KHC,CAG"
24,Software - Application,Technology,0.71,8,0.71,4,4,26,6,"CDNS,DDOG,SHOP,ADSK,ROP,PAYX,MSTR,ADP,ADBE,INTU,WDAY"
25,Specialty Business Services,Industrials,0.7,4,0.71,8,8,10,6,"CTAS,GPN,CPRT,TRI"
