Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_speculative,Name,Commentary,Commentary_Text,Stage,label,date,low_signal,marketCap,volume,avg_volume,is_up,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
1,SNDK,8,Technology,Computer Hardware,Nasdaq 100,10.479906920409606,100.0,10.208557911159208,7.395131576598936,100.0,100.0,43.36,932.4299926757812,0.0644330947467382,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Sandisk Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,131618734080.0,12197100.0,17067920.0,False,100.0,100.0,False,False
2,WDC,8,Technology,Computer Hardware,Nasdaq 100,3.934840075772022,98.7878787878788,3.700102801487184,3.2930715411844744,98.7878787878788,98.18181818181819,35.04,403.1199951171875,0.048567602951189046,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Western Digital Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,95629238272.0,6759400.0,9733960.0,True,98.7878787878788,98.7878787878788,False,False
3,STX,8,Technology,Computer Hardware,Nasdaq 100,3.001966969508219,98.18181818181819,2.895272845860358,2.360932707090581,96.36363636363636,97.57575757575758,32.56,587.6199951171875,0.04712836334452847,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Seagate Technology Holdings plc,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,88938921984.0,3169000.0,3162910.0,True,98.18181818181819,98.18181818181819,False,False
4,VSAT,8,Technology,Communication Equipment,Manual Tip,2.779135008397988,97.57575757575758,2.6402964270407594,2.3076135682296752,97.57575757575758,99.39393939393939,42.55,62.58000183105469,0.04914851424312093,7,True,False,False,False,True,AlphaCharts,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,"Viasat, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,6509040640.0,1122900.0,1659010.0,False,96.96969696969697,96.96969696969697,False,False
5,MU,8,Technology,Semiconductors,Nasdaq 100,2.6795936359631933,96.96969696969697,2.679326471111771,2.3081837126278937,98.18181818181819,96.96969696969697,35.97,481.7200012207031,0.05096173712175067,7,True,False,False,False,True,AlphaCharts,"{'c': True, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,"Micron Technology, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,464126246912.0,38019300.0,29634200.0,False,97.57575757575758,97.57575757575758,False,False
6,MRVL,8,Technology,Semiconductors,Nasdaq 100,2.043869311199178,96.36363636363636,1.6459042357618339,1.1928430678349355,33.33333333333333,52.121212121212125,32.38,165.55999755859375,0.04270704857212613,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,"Marvell Technology, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,69281292288.0,36726200.0,10495450.0,True,93.33333333333333,73.93939393939394,False,False
7,INTC,8,Technology,Semiconductors,Nasdaq 100,1.9228483800206302,95.75757575757575,1.9616599849578276,1.5721221711322793,87.87878787878788,93.93939393939394,37.24,66.77999877929688,0.05093483913313782,7,False,False,False,False,True,memory,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,Intel Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,Test,2026-02-23,False,227830087680.0,150063600.0,74665460.0,True,96.36363636363636,95.15151515151516,False,False
8,LRCX,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.8602500300643858,95.15151515151516,1.8573270672607949,1.8950709265611105,95.15151515151516,93.33333333333333,25.34,258.55999755859375,0.04122007303027555,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': False, 's': True, 'l': False, 'i': True, 'm': True}",-1,False,Lam Research Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,293772853248.0,12239800.0,9444820.0,False,95.75757575757575,96.36363636363636,False,False
9,MPWR,8,Technology,Semiconductors,Nasdaq 100,1.7264008400727995,94.54545454545455,1.5556540665710217,1.3375319063767013,81.81818181818183,89.0909090909091,23.77,1592.1700439453125,0.03406222723925621,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,"Monolithic Power Systems, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,55661723648.0,637400.0,487470.0,True,91.51515151515152,82.42424242424242,False,False
10,USO,8,unknown,unknown,Market Pulse,1.6748497443263517,93.33333333333333,1.6202174328022876,1.5171170247332268,34.54545454545455,20.606060606060606,33.28,134.72000122070312,0.060416306989280626,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,"United States Oil Fund, LP",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,9760244736.0,19076800.0,10094790.0,True,92.72727272727272,92.72727272727272,False,False
11,AMAT,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.6390177224661242,92.72727272727272,1.5769780179330342,1.7541869010025593,89.6969696969697,77.57575757575758,20.25,403.9100036621094,0.03143911075795323,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"Applied Materials, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,295460929536.0,4413200.0,8638880.0,True,92.12121212121212,95.75757575757575,False,False
12,HBM,8,Basic Materials,Copper,Manual Tip,1.5888399757696063,92.12121212121212,1.6897440393985041,1.4882036927133546,95.75757575757575,94.54545454545455,28.73,24.020000457763672,0.04975022286620793,7,False,False,True,False,True,AlphaCharts,"{'c': True, 'a': True, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,Hudbay Minerals Inc.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,11012931584.0,6028500.0,6805750.0,False,94.54545454545455,89.6969696969697,False,False
