Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,Name,Commentary,Commentary_Text,Stage,label,date,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
1,QMMM,6,Communication Services,Advertising Agencies,NASDAQ,45.48114239500762,100,53.49944075039143,63.170203315175804,100,100,0.0,119.4000015258789,0.0,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,QMMM,Sideways,"Weakening, slipped below MA50 but holding MA200.",2,,,100,100,False,False
2,RAPT,8,Healthcare,Biotechnology,NASDAQ,4.14672713557087,100,4.493102670852679,3.888068660377513,99,81,1.64,57.91999816894531,0.0023739585181767357,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,RAPT,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
3,FOLD,8,Healthcare,Biotechnology,NASDAQ,1.5666645841163025,91,1.666936011766475,1.631205686880887,79,23,1.76,14.34000015258789,0.0026399667629588264,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,FOLD,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,94,93,False,False
4,VTYX,8,Healthcare,Biotechnology,NASDAQ,4.535247572457039,100,4.984317986149609,5.160857889261788,100,85,1.76,13.970000267028809,0.002479821362633906,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,VTYX,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,100,100,False,False
5,FRGE,8,Financial Services,Capital Markets,NYSE,1.8837392434272577,96,1.9536714151853611,2.7533822088710598,99,73,1.92,44.619998931884766,0.0028334454207540713,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,FRGE,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,97,99,False,False
6,RNA,8,Healthcare,Biotechnology,NASDAQ,1.4838943983295665,90,1.5498434045367333,1.7872024266483133,96,87,2.13,72.86000061035156,0.0030488856569448356,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,RNA,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,92,95,False,False
7,EXAS,8,Healthcare,Diagnostics & Research,NASDAQ,1.5365950509761772,91,1.7167358085759905,1.6962393176857051,97,9,2.22,103.43000030517578,0.003301074331415835,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,EXAS,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,95,94,False,False
8,DBRG,8,Financial Services,Asset Management,NYSE,1.3525268246836009,85,1.400972193264966,1.2767531317550302,11,23,2.81,15.399999618530273,0.004035232339574592,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,DBRG,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,88,83,False,False
9,PKST,8,Real Estate,REIT - Office,NYSE,1.5581026131374927,91,1.5712699972759216,1.0256298724188013,69,43,5.39,20.829999923706055,0.022944252349877462,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,PKST,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,92,52,False,False
10,RSP,8,n/a,Index/ETF,Market Pulse,1.0253332628913348,44,1.0244577450911487,0.9891132299198779,48,45,8.43,204.08999633789062,0.012662494523196559,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': False, 'i': False, 'm': True}",-1,False,Invesco S&P 500 Equal Weight ETF,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,44,44,False,False
