Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,rs_1m_pct,Candidate High-Win,Candidate Flip
1,AFJKU,8,unknown,unknown,NASDAQ,5.21417839942252,100,5.160804135678923,67,32,0.0,67.23999786376953,0.0,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
2,QMMM,6,unknown,unknown,NASDAQ,45.481143972689395,100,63.17020045255823,100,100,0.0,119.4000015258789,0.0,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
3,RAPT,8,Healthcare,Biotechnology,NASDAQ,4.146727279930401,100,3.8880685557423655,99,82,1.64,57.91999816894531,0.0023739585181767357,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
4,FOLD,8,Healthcare,Biotechnology,NASDAQ,1.5666646241642046,92,1.6312056603788616,81,22,1.76,14.34000015258789,0.0026399667629588264,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,94,False,False
5,FRGE,8,unknown,unknown,NYSE,1.8837392993791457,96,2.7533821380960246,99,75,1.92,44.619998931884766,0.0028334454207540713,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
6,NAMSW,8,unknown,unknown,NASDAQ,1.7515183126891152,95,1.4059153458224443,99,92,1.98,25.969999313354492,0.02414874558223306,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,89,False,False
7,RNA,8,Healthcare,Biotechnology,NASDAQ,1.483894440460769,90,1.7872023838034359,97,88,2.13,72.86000061035156,0.0030488856569448356,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,95,False,False
8,EXAS,8,Healthcare,Diagnostics & Research,NASDAQ,1.5365950831668818,92,1.696239284582133,98,9,2.22,103.43000030517578,0.003301074331415835,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,94,False,False
9,DBRG,8,Real Estate,REIT—Diversified,NYSE,1.3525268496013916,86,1.2767531274670405,10,22,2.81,15.399999618530273,0.004035232339574592,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,84,False,False
10,PKST,8,unknown,unknown,NYSE,1.5581026538897313,92,1.0256298483195443,70,44,5.39,20.829999923706055,0.022944252349877462,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,54,False,False
11,AAUC,8,unknown,unknown,NYSE,2.142371618074145,98,2.2444620105581086,92,91,9.36,31.329999923706055,0.013417077050440445,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,98,False,False
12,BTSGU,8,unknown,unknown,NASDAQ,1.3951045805323752,87,1.4950156207899485,92,77,9.49,135.36000061035156,0.026996785383229322,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,91,False,False
13,RILYG,8,unknown,unknown,NASDAQ,1.5662109550122498,92,1.5241084514766765,87,97,9.64,22.950000762939453,0.013373808144598038,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,92,False,False
14,VOD,8,Communication Services,Telecom Services,NASDAQ,1.3686127618279225,86,1.2405261467898125,79,82,11.18,15.649999618530273,0.025376551631632764,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,81,False,False
15,EMF,8,Financial Services,Asset Management,NYSE,1.3531199635762947,86,1.294451947190195,81,77,11.36,20.739999771118164,0.01711669370057708,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,85,False,False
16,WBD,8,Communication Services,Entertainment,NASDAQ,1.9262392032632139,96,1.9342452312482878,98,75,11.57,28.75,0.018409946986607143,6,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,97,False,False
17,IX,8,Financial Services,Credit Services,NYSE,1.3791004130098776,87,1.1749612507225264,72,75,11.85,35.34000015258789,0.027346593556930393,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,76,False,False
18,SLAB,8,Technology,Semiconductors,NASDAQ,1.4430679903745913,89,1.0791605028170572,28,62,12.05,204.63999938964844,0.03871258376832674,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,64,False,False
19,NVRI,8,unknown,unknown,NYSE,1.7507156027332136,95,1.774354045287604,97,87,13.86,19.15999984741211,0.02035490280329339,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,95,False,False
20,TPH,8,Consumer Cyclical,Residential Construction,NYSE,1.3385217564439125,85,0.9455897912847961,29,32,15.43,46.310001373291016,0.03504334230027027,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,36,False,False
21,GLDD,8,Industrials,Engineering & Construction,NASDAQ,1.418065077457237,88,1.3053035191004752,63,63,16.35,16.889999389648438,0.025754882089939226,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,85,False,False
