Rank,Ticker,Minervini,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_restricted,rs_1m_pct,Candidate High-Win,Candidate Flip
1,QMMM,6,unknown,unknown,NASDAQ,45.48114239500762,100,63.170203315175804,100,100,0.0,119.4000015258789,0.0,4,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
2,AXTI,8,Technology,Semiconductor Equipment & Materials,NASDAQ,9.115946863278195,100,6.246138847456808,100,95,100.0,29.68000030517578,0.12564978931215698,7,False,True,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
3,SNDK,8,unknown,unknown,NASDAQ,8.948163246056119,100,9.095111482450829,100,92,69.81,649.969970703125,0.0944125890302603,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
4,HYMC,7,Basic Materials,Other Precious Metals & Mining,NASDAQ,8.42624609573733,100,10.673561521762979,99,95,98.3,41.06999969482422,0.13478728799928263,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
5,ABVX,8,unknown,unknown,NASDAQ,7.511514272056349,100,7.120048750392423,100,100,27.81,130.35000610351562,0.03743053777124129,6,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
6,SLGL,8,Healthcare,Biotechnology,NASDAQ,5.744268341576294,100,3.8947275487392865,100,100,73.15,83.9800033569336,0.09028595290382445,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
7,TERN,8,Healthcare,Biotechnology,NASDAQ,5.476368046711587,100,6.059675262429122,100,96,43.57,39.22999954223633,0.060056082343230156,6,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
8,AFJKU,8,unknown,unknown,NASDAQ,5.21417829359587,100,5.160804239767461,67,32,0.0,67.23999786376953,0.0,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
9,LITE,8,Technology,Communication Equipment,NASDAQ,4.998973040619577,100,3.102595615942494,99,97,68.12,667.77001953125,0.08093676523017343,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
10,GLTO,8,Healthcare,Biotechnology,NASDAQ,4.976419464187607,100,5.497014788970252,100,3,79.07,30.0,0.1021166756039574,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
11,BNAI,7,unknown,unknown,NASDAQ,4.789543214767367,100,1.8782312709479263,58,3,100.0,19.0,0.21176691700641373,6,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,96,False,False
12,ALMS,8,unknown,unknown,NASDAQ,4.681591255376724,100,5.031644446049371,90,15,49.36,27.969999313354492,0.06712294537344224,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
13,SOGP,7,unknown,unknown,NASDAQ,4.608631678895977,100,2.9034071996750033,100,100,44.7,14.319999694824219,0.0661861549091357,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
14,PRAX,8,Healthcare,Biotechnology,NASDAQ,4.233309645898343,100,3.5460312321610488,100,31,41.17,335.2799987792969,0.05878283109259798,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
15,RAPT,8,Healthcare,Biotechnology,NASDAQ,4.14672713557087,100,3.888068660377513,99,82,1.64,57.91999816894531,0.0023739585181767357,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
16,CELC,7,Healthcare,Diagnostics & Research,NASDAQ,3.8614592911323466,100,5.306972312791396,100,100,38.16,104.79000091552734,0.056299679718950224,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
17,SNSE,8,Healthcare,Biotechnology,NASDAQ,3.590584449785174,100,1.111354593374278,65,31,100.0,33.5,0.08854797908238002,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,68,False,False
18,BNR,7,Healthcare,Diagnostics & Research,NASDAQ,3.5178003060669663,100,5.631341393502259,99,97,63.22,29.010000228881836,0.1123184035190568,6,True,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
19,BE,8,Industrials,Electrical Equipment & Parts,NYSE,3.4743711771786243,100,3.695726188389794,99,100,80.59,147.5500030517578,0.11964611487985047,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
20,CAPR,8,Healthcare,Biotechnology,NASDAQ,3.3976184010643444,100,2.7481596255656666,2,2,51.73,28.510000228881836,0.06601693206037987,6,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
21,ANRO,8,unknown,unknown,NYSE,3.3590718772041153,100,3.499952360139172,100,57,64.91,17.6200008392334,0.0894600320092488,7,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
22,BIOA,8,unknown,unknown,NASDAQ,3.3499349915928773,100,3.327820158518176,94,4,52.61,20.510000228881836,0.07457685908798871,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
23,WDC,8,Technology,Computer Hardware,NASDAQ,3.3155037348733725,100,3.2453408838405933,99,94,62.18,285.5199890136719,0.08574080597686723,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
24,PL,8,unknown,unknown,NYSE,3.300502366075169,100,3.815917967547894,99,98,65.24,23.899999618530273,0.08946504980807889,7,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
25,AFJK,6,unknown,unknown,NASDAQ,3.1922174718570653,100,4.734305473151725,23,39,64.63,37.939998626708984,0.12397395979939789,3,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,100,False,False
26,NKTR,7,Healthcare,Biotechnology,NASDAQ,3.1549369929034494,100,1.505120101068458,100,98,58.99,73.7300033569336,0.07532309400072638,6,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,91,False,False
27,NBTX,8,Healthcare,Biotechnology,NASDAQ,3.1441320353221465,100,3.133892975433739,100,99,39.7,24.780000686645508,0.06596621032917553,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
28,KOD,7,Healthcare,Biotechnology,NASDAQ,3.1038949003889096,100,2.911007971402057,100,99,62.78,25.280000686645508,0.0829848338949553,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
29,AG,8,Basic Materials,Silver,NYSE,3.085375945462756,100,2.606214561782137,94,92,53.77,27.549999237060547,0.06961368736757971,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,99,False,False
30,ZEPP,4,Technology,Scientific & Technical Instruments,NYSE,3.0724908918651197,100,3.1289745316840767,100,100,79.73,21.479999542236328,0.11085728104985666,2,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,99,False,False
31,COGT,7,Healthcare,Biotechnology,NASDAQ,3.0558542493365257,100,3.82420805513383,100,96,35.19,37.34000015258789,0.05190336506998571,4,True,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
32,INBX,7,Healthcare,Biotechnology,NASDAQ,3.0405875968757607,99,3.630016274624306,100,98,49.7,78.63999938964844,0.07309712728790017,5,False,False,True,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,100,False,False
